Moments,Analytical,Empirical,95% CI,Difference
E[v_T],0.023847,0.067368,0.001307,-0.043521
E[v_T^2],0.030383,0.059333,0.002712,-0.028950
Std[v_T],0.172668,0.234082,0.005283,-0.061414
E[v_T^3],0.062238,0.095408,0.009163,-0.033169
E[v_T^4],0.161257,0.217230,0.042365,-0.055973
