T_steps,E[v_T^3](QE),E[v_T^3](EM),E[v_T^4](QE),E[v_T^4](EM)
1,0.000004,-0.059612,0.000004,-0.059612
2,0.000002,-0.070621,0.000002,-0.070621
4,-0.000002,-0.069232,-0.000002,-0.069232
12,0.000023,-0.059014,0.000023,-0.059014
52,-0.000091,-0.047101,-0.000091,-0.047101
100,0.000020,-0.043175,0.000020,-0.043175
365,0.000082,-0.037586,0.000082,-0.037586
